PCs,Explained Variance Ratio
PC1,0.31028189025695113
PC2,0.24157487497870625
PC3,0.1712518318956623
PC4,0.0968224308620803
PC5,0.05893915690778534
PC6,0.03249756696499096
PC7,0.023625097886590115
PC8,0.017636454414301186
PC9,0.011771434294830884
PC10,0.009830162591976898
PC11,0.008112751865155447
PC12,0.0062275618736614274
PC13,0.003702932929091198
PC14,0.0029445044997980477
PC15,0.0023580461870235225
PC16,0.0012070093527588575
PC17,0.001092736618471063
PC18,0.00010015885949324558
PC19,2.3396760671801817e-05