point_index,x,y,z,x_D,y_D,z_D,nutEq_true,nut_pred,error,relative_error,ID,ax,theta,z_original,ax_d,z_d,nut
49124,-238.0,-8.881784e-16,869.22253,-1.8888888,-7.0490355e-18,6.8985915,5.352597,1.0152111,-4.337386,-0.810333,3,-233.0,-1.5707963267948966,869.22253,-1.8492063492063493,6.8985915,32.895992
49128,-238.0,-8.881784e-16,896.978,-1.8888888,-7.0490355e-18,7.118873,4.866129,1.0218544,-3.8442745,-0.7900067,3,-233.0,-1.5707963267948966,896.978,-1.8492063492063493,7.118873,32.893734
49134,-322.0,-8.881784e-16,924.7337,-2.5555556,-7.0490355e-18,7.339156,4.407287,1.1851578,-3.2221293,-0.7310913,3,-317.0,-1.5707963267948966,924.7337,-2.515873015873016,7.339156,33.76304
49181,-182.0,0.0,869.2222,-1.4444444,0.0,6.898589,6.4219837,0.9823532,-5.4396305,-0.8470327,3,-177.0,-1.5707963267948966,869.2222,-1.4047619047619047,6.898589,32.94792
49182,-210.0,-1.7763568e-15,869.2228,-1.6666666,-1.4098071e-17,6.8985934,9.77517,0.99874115,-8.776429,-0.89782876,3,-205.0,-1.5707963267948966,869.2228,-1.626984126984127,6.8985934,32.924
49188,-182.0,0.0,896.97784,-1.4444444,0.0,7.1188717,5.941869,0.99123955,-4.950629,-0.83317715,3,-177.0,-1.5707963267948966,896.97784,-1.4047619047619047,7.1188717,32.94514
49189,-210.0,0.0,896.9783,-1.6666666,0.0,7.118875,9.28518,1.0064487,-8.278731,-0.891607,3,-205.0,-1.5707963267948966,896.9783,-1.626984126984127,7.118875,32.92148
49568,-630.0,1.7763568e-15,702.68945,-5.0,1.4098071e-17,5.5769005,17.95146,1.2000847,-16.751375,-0.9331483,3,-625.0,-1.5707963267948966,702.68945,-4.9603174603174605,5.5769005,33.447887
49569,-630.0,-8.881784e-16,730.44495,-5.0,-7.0490355e-18,5.797182,12.676003,1.2260017,-11.450002,-0.9032817,3,-625.0,-1.5707963267948966,730.44495,-4.9603174603174605,5.797182,31.652351
49577,-630.0,0.0,758.2005,-5.0,0.0,6.017464,16.532543,1.258482,-15.274061,-0.9238785,3,-625.0,-1.5707963267948966,758.2005,-4.9603174603174605,6.017464,31.291857
49585,-630.0,0.0,785.956,-5.0,0.0,6.237746,13.777913,1.2143326,-12.5635805,-0.9118638,3,-625.0,-1.5707963267948966,785.956,-4.9603174603174605,6.237746,33.087143
49593,-630.0,-8.881784e-16,813.7115,-5.0,-7.0490355e-18,6.458028,22.869806,1.322586,-21.54722,-0.9421689,3,-625.0,-1.5707963267948966,813.7115,-4.9603174603174605,6.458028,33.80935
49594,-462.0,0.0,841.4664,-3.6666667,0.0,6.6783047,4.7855453,1.2439995,-3.5415459,-0.7400506,3,-457.0,-1.5707963267948966,841.4664,-3.626984126984127,6.6783047,33.787285
49595,-434.0,0.0,841.46704,-3.4444444,0.0,6.67831,4.588935,1.2295837,-3.3593512,-0.73205465,3,-429.0,-1.5707963267948966,841.46704,-3.4047619047619047,6.67831,33.78349
49596,-490.0,0.0,841.4591,-3.8888888,0.0,6.678247,4.6322513,1.2584305,-3.3738208,-0.7283329,3,-485.0,-1.5707963267948966,841.4591,-3.8492063492063493,6.678247,33.79114
49597,-518.0,1.7763568e-15,841.4591,-4.111111,1.4098071e-17,6.678247,4.595321,1.2729645,-3.3223567,-0.7229868,3,-513.0,-1.5707963267948966,841.4591,-4.071428571428571,6.678247,33.795097
49601,-630.0,-8.881784e-16,841.46704,-5.0,-7.0490355e-18,6.67831,23.340048,1.3343544,-22.005693,-0.94282985,3,-625.0,-1.5707963267948966,841.46704,-4.9603174603174605,6.67831,33.80935
49609,-630.0,0.0,869.22253,-5.0,0.0,6.8985915,5.935863,1.2866478,-4.649215,-0.7832417,3,-625.0,-1.5707963267948966,869.22253,-4.9603174603174605,6.8985915,33.3746
49610,-490.0,0.0,896.9731,-3.8888888,0.0,7.118834,5.0152397,1.1667061,-3.8485336,-0.76736784,3,-485.0,-1.5707963267948966,896.9731,-3.8492063492063493,7.118834,32.663773
49612,-518.0,0.0,896.9731,-4.111111,0.0,7.118834,7.4944844,1.1823635,-6.312121,-0.8422355,3,-513.0,-1.5707963267948966,896.9731,-4.071428571428571,7.118834,32.61478
49613,-546.0,0.0,896.97546,-4.3333335,0.0,7.118853,6.8098283,1.1979961,-5.611832,-0.8240784,3,-541.0,-1.5707963267948966,896.97546,-4.2936507936507935,7.118853,32.592247
49616,-630.0,-8.881784e-16,896.978,-5.0,-7.0490355e-18,7.118873,7.265455,1.2928314,-5.9726233,-0.8220577,3,-625.0,-1.5707963267948966,896.978,-4.9603174603174605,7.118873,33.374603
49617,-490.0,0.0,924.7299,-3.8888888,0.0,7.339126,6.420431,1.2675133,-5.152918,-0.8025813,3,-485.0,-1.5707963267948966,924.7299,-3.8492063492063493,7.339126,33.789677
49618,-462.0,0.0,924.7316,-3.6666667,0.0,7.33914,4.691809,1.2532806,-3.4385285,-0.73287904,3,-457.0,-1.5707963267948966,924.7316,-3.626984126984127,7.33914,33.785458
49619,-518.0,1.7763568e-15,924.7299,-4.111111,1.4098071e-17,7.339126,9.166873,1.281887,-7.884986,-0.86016095,3,-513.0,-1.5707963267948966,924.7299,-4.071428571428571,7.339126,33.79384
49620,-546.0,0.0,924.7316,-4.3333335,0.0,7.33914,8.712742,1.2961845,-7.4165573,-0.85123116,3,-541.0,-1.5707963267948966,924.7316,-4.2936507936507935,7.33914,33.79795
49621,-574.0,-8.881784e-16,924.7335,-4.5555553,-7.0490355e-18,7.3391547,4.6000156,1.3116913,-3.2883244,-0.71485066,3,-569.0,-1.5707963267948966,924.7335,-4.515873015873016,7.3391547,33.802135
49622,-602.0,0.0,924.7335,-4.7777777,0.0,7.3391547,5.0841036,1.3338318,-3.7502718,-0.73764664,3,-597.0,-1.5707963267948966,924.7335,-4.738095238095238,7.3391547,33.80637
49623,-630.0,0.0,924.7335,-5.0,0.0,7.3391547,23.736618,1.3609047,-22.375713,-0.9426665,3,-625.0,-1.5707963267948966,924.7335,-4.9603174603174605,7.3391547,33.80935
49630,-630.0,-8.881784e-16,952.489,-5.0,-7.0490355e-18,7.559437,24.13021,1.3575935,-22.772617,-0.9437388,3,-625.0,-1.5707963267948966,952.489,-4.9603174603174605,7.559437,33.80935
49637,-630.0,0.0,980.2439,-5.0,0.0,7.7797136,32.931152,1.3499832,-31.58117,-0.9590059,3,-625.0,-1.5707963267948966,980.2439,-4.9603174603174605,7.7797136,33.80935
49638,-490.0,-8.881784e-16,1008.0,-3.8888888,-7.0490355e-18,8.0,7.5440903,1.2569656,-6.2871246,-0.8333841,3,-485.0,-1.5707963267948966,1008.0,-3.8492063492063493,8.0,33.36208
49639,-462.0,0.0,1008.0,-3.6666667,0.0,8.0,5.7744026,1.2304611,-4.5439415,-0.7869111,3,-457.0,-1.5707963267948966,1008.0,-3.626984126984127,8.0,33.178318
49640,-518.0,0.0,1008.0,-4.111111,0.0,8.0,13.724605,1.2943954,-12.430209,-0.905688,3,-513.0,-1.5707963267948966,1008.0,-4.071428571428571,8.0,33.583836
49641,-546.0,-8.881784e-16,1008.0,-4.3333335,-7.0490355e-18,8.0,19.23598,1.3300438,-17.905935,-0.93085647,3,-541.0,-1.5707963267948966,1008.0,-4.2936507936507935,8.0,33.74634
49642,-574.0,0.0,1008.0,-4.5555553,0.0,8.0,20.665596,1.3085022,-19.357094,-0.9366821,3,-569.0,-1.5707963267948966,1008.0,-4.515873015873016,8.0,33.559772
49643,-602.0,1.7763568e-15,1008.0,-4.7777777,1.4098071e-17,8.0,25.423721,1.2655888,-24.158133,-0.95022017,3,-597.0,-1.5707963267948966,1008.0,-4.738095238095238,8.0,32.599712
49644,-630.0,0.0,1008.0,-5.0,0.0,8.0,40.208313,1.2710114,-38.9373,-0.96838933,3,-625.0,-1.5707963267948966,1008.0,-4.9603174603174605,8.0,32.84315
49662,-406.0,-8.881784e-16,841.46704,-3.2222223,-7.0490355e-18,6.67831,4.4133663,1.2145576,-3.1988087,-0.72480017,3,-401.0,-1.5707963267948966,841.46704,-3.1825396825396823,6.67831,33.779694
49682,-378.0,-8.881784e-16,1008.0,-3.0,-7.0490355e-18,8.0,4.89344,1.2103653,-3.6830745,-0.7526555,3,-373.0,-1.5707963267948966,1008.0,-2.9603174603174605,8.0,33.35632
49684,-406.0,0.0,1008.0,-3.2222223,0.0,8.0,5.4072323,1.2063541,-4.200878,-0.7768999,3,-401.0,-1.5707963267948966,1008.0,-3.1825396825396823,8.0,33.17375
49685,-434.0,0.0,1008.0,-3.4444444,0.0,8.0,5.666996,1.2137661,-4.45323,-0.78581846,3,-429.0,-1.5707963267948966,1008.0,-3.4047619047619047,8.0,33.098946
49710,-630.0,0.0,619.4228,-5.0,0.0,4.916054,16.826397,1.2228165,-15.60358,-0.9273275,3,-625.0,-1.5707963267948966,619.4228,-4.9603174603174605,4.916054,33.80935
49711,-630.0,-8.881784e-16,647.17834,-5.0,-7.0490355e-18,5.136336,23.252134,1.25214,-21.999994,-0.94614947,3,-625.0,-1.5707963267948966,647.17834,-4.9603174603174605,5.136336,33.80935
49715,-518.0,0.0,674.9242,-4.111111,0.0,5.356541,5.10147,1.1907082,-3.9107618,-0.76659507,3,-513.0,-1.5707963267948966,674.9242,-4.071428571428571,5.356541,33.796436
49716,-546.0,-8.881784e-16,674.9242,-4.3333335,-7.0490355e-18,5.356541,4.361482,1.1796646,-3.1818175,-0.72952664,3,-541.0,-1.5707963267948966,674.9242,-4.2936507936507935,5.356541,33.673428
49719,-630.0,-8.881784e-16,674.9339,-5.0,-7.0490355e-18,5.3566184,24.953234,1.245224,-23.70801,-0.9500977,3,-625.0,-1.5707963267948966,674.9339,-4.9603174603174605,5.3566184,33.80935
49755,-630.0,0.0,480.64478,-5.0,0.0,3.814641,5.7220054,1.0523643,-4.669641,-0.8160847,3,-625.0,-1.5707963267948966,480.64478,-4.9603174603174605,3.814641,31.526487
49756,-630.0,0.0,508.4004,-5.0,0.0,4.0349236,5.863464,1.1134605,-4.7500033,-0.8101019,3,-625.0,-1.5707963267948966,508.4004,-4.9603174603174605,4.0349236,33.440952
49766,-630.0,0.0,536.156,-5.0,0.0,4.2552066,5.7653446,1.0508499,-4.7144947,-0.8177299,3,-625.0,-1.5707963267948966,536.156,-4.9603174603174605,4.2552066,32.68242
49773,-630.0,-8.881784e-16,563.9116,-5.0,-7.0490355e-18,4.475489,4.570133,1.0668812,-3.503252,-0.7665536,3,-625.0,-1.5707963267948966,563.9116,-4.9603174603174605,4.475489,32.682636
49780,-630.0,0.0,591.6672,-5.0,0.0,4.695771,5.0340304,1.1973267,-3.8367038,-0.76215345,3,-625.0,-1.5707963267948966,591.6672,-4.9603174603174605,4.695771,33.80935
53582,-630.0,0.0,341.8661,-5.0,0.0,2.713223,7.8748403,1.479866,-6.394974,-0.8120767,3,-625.0,-1.5707963267948966,341.8661,-4.9603174603174605,2.713223,33.80935
53583,-630.0,0.0,369.62192,-5.0,0.0,2.9335072,15.80842,1.2754707,-14.532949,-0.919317,3,-625.0,-1.5707963267948966,369.62192,-4.9603174603174605,2.9335072,31.857222
53593,-630.0,-8.881784e-16,397.3777,-5.0,-7.0490355e-18,3.1537912,11.620606,1.1887398,-10.431867,-0.8977041,3,-625.0,-1.5707963267948966,397.3777,-4.9603174603174605,3.1537912,31.006351
53602,-630.0,-8.881784e-16,425.1334,-5.0,-7.0490355e-18,3.3740745,5.758601,1.1654301,-4.593171,-0.7976192,3,-625.0,-1.5707963267948966,425.1334,-4.9603174603174605,3.3740745,32.958504
54045,-374.5,-1.8987572e-14,130.23436,-2.9722223,-1.5069501e-16,1.033606,5.257708,2.5346203,-2.7230878,-0.517923,4,-369.5,-1.5707963267948961,130.23436,-2.9325396825396823,1.033606,33.193073
54046,-378.0,-2.3305054e-14,130.23436,-3.0,-1.8496075e-16,1.033606,5.3674073,2.5371704,-2.830237,-0.52730054,4,-373.0,-1.570796326794896,130.23436,-2.9603174603174605,1.033606,33.20195
54119,-378.0,-2.323425e-14,126.76492,-3.0,-1.8439881e-16,1.0060709,4.895172,2.0402813,-2.8548908,-0.5832054,4,-373.0,-1.570796326794896,126.76492,-2.9603174603174605,1.0060709,28.1514
55227,-381.5,-2.3513916e-14,130.23436,-3.0277777,-1.8661838e-16,1.033606,5.4051533,2.5397148,-2.8654385,-0.53013086,4,-376.5,-1.570796326794896,130.23436,-2.988095238095238,1.033606,33.21079
55235,-381.5,-2.3640346e-14,126.76493,-3.0277777,-1.876218e-16,1.0060709,4.9537535,2.0481262,-2.9056273,-0.58655065,4,-376.5,-1.570796326794896,126.76493,-2.988095238095238,1.0060709,28.204248
55236,-385.0,-2.4046444e-14,126.764946,-3.0555556,-1.908448e-16,1.006071,4.9376416,2.0541935,-2.8834481,-0.58397275,4,-380.0,-1.570796326794896,126.764946,-3.015873015873016,1.006071,28.24234
55576,-616.0,-1.9652135e-14,102.47897,-4.888889,-1.5596932e-16,0.81332517,4.707435,0.7127638,-3.9946713,-0.84858763,4,-611.0,-1.570796326794895,102.47897,-4.849206349206349,0.81332517,13.960799
55579,-619.5,-1.6994383e-14,102.47903,-4.9166665,-1.3487606e-16,0.8133256,5.2391315,0.713212,-4.5259194,-0.8638683,4,-614.5,-1.5707963267948952,102.47903,-4.876984126984127,0.8133256,13.957537
55581,-630.0,-1.2028171e-14,105.94832,-5.0,-9.546168e-17,0.84085965,4.0865035,0.5257616,-3.560742,-0.87134194,4,-625.0,-1.570796326794896,105.94832,-4.9603174603174605,0.84085965,11.264765
55679,-623.0,-1.433663e-14,102.478905,-4.9444447,-1.1378278e-16,0.81332463,4.4498725,0.6515198,-3.7983527,-0.85358685,4,-618.0,-1.5707963267948954,102.478905,-4.904761904761905,0.81332463,13.121904
55777,-577.5,-5.5297254e-15,123.295494,-4.5833335,-4.388671e-17,0.97853565,4.753083,0.8136196,-3.9394636,-0.8288228,4,-572.5,-1.5707963267948963,123.295494,-4.5436507936507935,0.97853565,15.036768
55808,-616.0,-1.5909528e-14,133.7039,-4.888889,-1.262661e-16,1.0611421,4.8646054,0.9218378,-3.9427676,-0.81050104,4,-611.0,-1.5707963267948961,133.7039,-4.849206349206349,1.0611421,16.436954
55809,-612.5,-1.2623203e-14,133.70386,-4.861111,-1.0018415e-16,1.0611417,4.2855206,0.93053913,-3.3549814,-0.7828644,4,-607.5,-1.5707963267948963,133.70386,-4.821428571428571,1.0611417,16.571466
55811,-616.0,-1.6862442e-14,130.23447,-4.888889,-1.338289e-16,1.0336069,4.7100196,1.2588882,-3.4511313,-0.7327212,4,-611.0,-1.5707963267948961,130.23447,-4.849206349206349,1.0336069,20.463676
55818,-619.5,-1.653693e-14,133.70398,-4.9166665,-1.3124547e-16,1.0611427,4.4223022,0.85725784,-3.5650444,-0.8061512,4,-614.5,-1.5707963267948961,133.70398,-4.876984126984127,1.0611427,15.427713
55823,-626.5,-1.7791729e-14,133.7038,-4.9722223,-1.4120419e-16,1.0611413,5.1948414,0.7722769,-4.4225645,-0.85133773,4,-621.5,-1.5707963267948961,133.7038,-4.932539682539683,1.0611413,13.959577
55824,-626.5,-1.8240106e-14,130.23436,-4.9722223,-1.4476275e-16,1.033606,5.056312,0.7649908,-4.2913213,-0.84870577,4,-621.5,-1.5707963267948961,130.23436,-4.932539682539683,1.033606,13.809457
